easting,northing,coarse_local_slope,coarse_relief_m,coarse_width_m,coarse_area_ha,coarse_aspect_deg,tile
442542.6733232115,131346.1915123073,8.091470718383789,35.233917236328125,1314.2178472876549,20.93,205.16026,E440000_N128000
427427.0908345273,157042.57668263238,6.988870620727539,52.77549743652344,979.9768015742302,17.94,159.75232,E424000_N152000
478676.81216724485,117625.70769247875,6.736261367797852,57.45091247558594,889.8871994018555,19.15,165.10999,E472000_N112000
458751.04167052696,180900.39341401978,12.459781646728516,73.75235748291016,448.56528759002686,10.46,144.71149,E456000_N176000
461941.7609865881,179359.18844256876,14.821828842163086,66.7452392578125,539.699370265007,9.04,199.44566,E456000_N176000
512255.9345329243,143613.91601153655,9.778971672058105,68.27261352539062,608.3326864242554,18.05,200.03387,E512000_N136000
436075.88733709505,159389.94552634977,7.047720909118652,55.29716491699219,912.8036999702454,28.56,166.5744,E432000_N152000
483517.6781884923,128314.38938317535,11.006160736083984,65.44173431396484,626.860073953867,11.61,174.30957,E480000_N128000
470400.22405545576,124318.68225392485,9.207084655761719,48.9183349609375,988.9437711238861,14.47,180.48721,E464000_N120000
495602.3152958127,144745.08122920498,19.113422393798828,45.68258285522461,850.1952396333218,10.22,193.15721,E488000_N144000
460502.54150601727,123156.43156194042,11.282554626464844,50.92169189453125,900.211575627327,17.83,157.63263,E456000_N120000
500909.1891229915,109600.18327673675,8.664453506469727,73.57383728027344,498.09083849191666,18.23,180.40253,E496000_N104000
473564.6148510056,139186.6356642677,10.302718162536621,33.92683410644531,1253.8393378257751,18.41,186.6498,E472000_N136000
466259.7011944653,124725.30969573044,8.12694263458252,44.44464111328125,1083.0651061236858,26.31,173.07251,E464000_N120000
478059.994750746,120216.39306726868,13.472180366516113,60.42430877685547,652.7277991175652,10.32,158.6532,E472000_N120000
473422.90222070494,118822.81403380592,12.346429824829102,74.78488159179688,371.4472207427025,6.07,193.1733,E472000_N112000
486647.1432520044,126196.29870385946,10.199628829956055,70.22246551513672,504.93930846452713,8.46,176.64331,E480000_N120000
455581.4437058327,181200.06034421368,8.841102600097656,47.51948547363281,985.7743239402771,24.86,163.4823,E448000_N176000
485780.22976195224,112722.3371883159,9.668540954589844,60.82263946533203,690.4223294556141,17.71,176.0332,E480000_N112000
475782.0251811158,118645.44194070341,9.937466621398926,47.618560791015625,941.7592078447342,6.79,154.57611,E472000_N112000
485869.4597731992,128638.67306668907,9.230278015136719,61.59856414794922,673.6283028870821,17.89,174.45996,E480000_N128000
484916.46626022295,128796.48437034103,9.940421104431152,65.59613037109375,579.453087747097,12.76,169.55444,E480000_N128000
468259.4249441809,138342.4310394689,7.833205223083496,41.12876892089844,1109.965626001358,15.07,160.05182,E464000_N136000
511756.87283928297,143653.28444281855,9.036443710327148,66.38400268554688,578.6143121123314,14.64,190.63712,E504000_N136000
503648.0450671525,144071.60278965422,9.405153274536133,56.77880859375,762.4082073569298,9.63,201.55818,E496000_N144000
473547.4320001495,118162.05378083166,11.649616241455078,63.21385192871094,583.0598823726177,11.92,186.53667,E472000_N112000
490192.9099097846,135691.7307309172,12.218912124633789,59.67420959472656,638.1484089791775,11.44,166.08911,E488000_N128000
492382.05364799185,129905.60348710662,12.405754089355469,73.45069885253906,358.56143057346344,3.14,145.4148,E488000_N128000
505438.59473681805,108932.71742808276,7.28037166595459,53.312171936035156,862.9921635985374,23.85,153.58307,E504000_N104000
471351.9968727097,115564.3545414498,6.796817302703857,59.61354064941406,742.9855245351791,10.2,160.31006,E464000_N112000
469206.3252103764,137499.64154763037,7.838586807250977,29.76220703125,1303.965665102005,20.75,153.00897,E464000_N136000
480607.462477109,110160.43289926893,7.4192047119140625,58.230674743652344,730.0309394299984,18.23,181.62973,E480000_N104000
500863.0754608422,112378.1217141475,12.99363899230957,58.528831481933594,610.1266050338745,7.43,153.86194,E496000_N112000
480635.0763504224,117091.89940117876,7.404192924499512,60.47666931152344,680.3654131293297,16.83,167.02563,E480000_N112000
474201.4781462088,117197.57964306178,8.120847702026367,54.814422607421875,776.3342516869307,14.16,174.39331,E472000_N112000
501256.7631506368,108997.20742755786,7.8872151374816895,68.44475555419922,491.01344108581543,9.13,168.95667,E496000_N104000
438047.2080981202,160105.96665627175,11.33657455444336,58.146392822265625,616.815168261528,8.84,171.15326,E432000_N160000
506869.8438465239,149117.4202125168,12.405877113342285,57.866363525390625,600.0826058909297,10.09,178.95721,E504000_N144000
484148.0212898985,128723.85604528952,11.887467384338379,56.29637908935547,641.4191693067551,11.93,170.60376,E480000_N128000
459870.08500391943,179272.54112395825,11.127532958984375,53.83271026611328,701.0717391967773,13.11,164.88013,E456000_N176000
492289.9314914886,114196.92480959429,7.262539863586426,53.025238037109375,789.4255347829312,14.96,180.1425,E488000_N112000
466726.19301268825,114707.7074186799,6.2770538330078125,32.658538818359375,1214.8422008752823,19.36,144.69171,E464000_N112000
493085.84564897977,115525.52273582038,7.287994384765625,42.21282958984375,994.7103464603424,15.87,160.76624,E488000_N112000
472349.1120594921,132435.98161958772,8.457450866699219,41.39201354980469,986.4424397051334,23.78,193.78952,E472000_N128000
496406.4587113382,144716.5852765616,12.235682487487793,47.279266357421875,788.8440613821149,13.11,177.01184,E496000_N144000
440730.28358060727,159033.42048252522,10.952445983886719,61.90545654296875,520.0590129196644,10.92,193.20648,E440000_N152000
474834.6645331059,128585.5588752225,9.184124946594238,46.15923309326172,864.4102934002876,11.97,193.54631,E472000_N128000
489997.01958800986,129284.23531371803,8.080709457397461,56.37199401855469,680.9959249198437,15.13,182.051,E488000_N128000
461308.8210667255,179881.93490201398,11.15338134765625,54.85163497924805,646.2023115158081,15.1,197.89807,E456000_N176000
481130.5714160021,118127.0705466149,15.391209602355957,57.058868408203125,514.3849384784698,7.56,203.07872,E480000_N112000
508629.27650834527,149069.35894275733,12.422958374023438,56.51176452636719,581.5367197990417,9.03,157.38574,E504000_N144000
440792.5248510383,157672.56830949854,7.355628490447998,48.755157470703125,837.1197806298733,25.75,171.47375,E440000_N152000
477413.80763291445,119346.5900817644,9.90297794342041,66.39149475097656,422.8373843431473,4.89,141.23941,E472000_N112000
433623.5173101766,154758.95888210167,7.206667900085449,50.39349365234375,794.855423271656,20.1,165.32318,E432000_N152000
439362.12551027513,160056.84332566493,15.112556457519531,60.146026611328125,428.4449940919876,5.61,203.97305,E432000_N160000
509448.016869257,142389.67709773433,8.841543197631836,58.34095764160156,586.4948922395706,11.98,175.01587,E504000_N136000
