rank,selection_tier,ideal_match,paragliding_score,name,grid_ref,facing,aspect_deg,distance_miles,representative_slope_deg,vertical_relief_m,vertical_relief_ft,ridge_length_m,ridge_8deg_m,ridge_9_5deg_m,percent_face_8deg,percent_face_9_5deg,connected_area_ha,downslope_span_m,roughness_m,gaps_count,largest_gap_m,slope_score,relief_score,ridge_score,exposure_proxy_score,continuity_score,launch_proxy_score,aspect_score,whitewool_similarity_pct,latitude,longitude,easting,northing,category,status
21,Ideal,True,76.94268093355953,Unnamed face near SU 902 319,SU 9059 3185,SSW,206.96197509765625,14.98335975959806,11.48281955718994,38.48846435546875,126.27449339599607,1921.8158331980808,2006.0295651062625,1977.374248351378,69.29770043505283,56.42602466389716,30.836547423999995,665.1465512281866,4.974681854248047,0,0,100.0,20.542738172743054,100.0,63.09307861328125,100.0,92.32068167792427,50.97822709517046,52.32657786209849,51.078913186801294,-0.7081261893950103,490593.912160272,131859.13400157605,Likely ridge-soarable,Likely ridge-soarable
22,Ideal,True,76.94078554953288,Unnamed face near SU 643 202,SU 6464 2112,S,182.19911193847656,8.499484982945233,10.12990379333496,37.0018310546875,121.39708739746094,910.5319574169116,618.0355859571137,595.1200481365086,65.28640689531335,46.89172203268091,31.500990164444445,1080.056678028428,5.78611421585083,0,0,100.0,18.89092339409722,88.52973813037327,62.2010986328125,100.0,89.16511138280232,96.00161465731534,55.61859309588827,50.98591991828823,-1.0804632074098977,464640.7920175946,121126.29185973384,Likely ridge-soarable,Likely ridge-soarable
23,Ideal,True,76.91948593146817,Unnamed face near TQ 045 117,TQ 0411 1215,S,189.95411682128903,27.1595407182199,10.599199295043944,38.07437133789063,124.91592046020509,1782.782791718957,1805.5937413764768,1453.7687460763264,61.95889760038014,45.215015443098125,72.10884854008889,1385.9964589575247,4.957824230194092,0,0,100.0,20.082634819878482,100.0,62.844622802734385,95.7942200856321,86.68667011790805,81.90160577947448,42.74455957496987,50.899532510616666,-0.5207784263884024,504117.4612291154,112159.0555313052,Likely ridge-soarable,Likely ridge-soarable
24,Ideal,True,76.86671748973495,Unnamed face near SU 415 597,SU 4056 5933,SSW,199.8509826660156,22.30917465602707,10.776046752929688,37.75791931152344,123.87769199401856,1083.8402852082509,1094.9263093066984,709.1032994776615,61.654608367411136,47.14620250952431,27.439083580088887,801.9644347256981,5.879721641540527,0,0,100.0,19.731021457248264,100.0,62.654751586914074,95.37339455067497,84.50586451424493,63.907304243607996,66.51120828876401,51.33166139553517,-1.4191453940854306,440564.6639461613,159334.03187910595,Likely ridge-soarable,Likely ridge-soarable
25,Ideal,True,76.73986638868168,Unnamed face near SU 874 307,SU 8778 3088,S,186.1504669189453,13.345153981533247,11.244776725769045,36.48019790649414,119.68569249954224,2086.036113627546,2167.436935056816,1784.4226179282996,59.64667912349244,45.688805843383726,50.673765626666665,674.6329425381264,4.9668869972229,0,0,100.0,18.31133100721571,100.0,61.88811874389649,92.59647112823423,92.35099501079982,88.81733287464488,35.48671336758389,51.07054706486477,-0.748442692864541,487785.5927948511,130880.0311024856,Likely ridge-soarable,Likely ridge-soarable
26,Ideal,True,76.6302345719798,Unnamed face near SU 855 372,SU 8600 3693,SSW,207.58596801757807,12.111339686904278,11.918594360351562,38.99468612670898,127.9353260319519,1390.688858045265,1391.7447081204157,1333.148577861488,69.86132511556241,56.48005478513953,18.684450074666668,429.0187965347432,4.549273490905762,0,0,100.0,21.10520680745442,100.0,59.899944431815925,100.0,93.97504753536647,49.84369451349442,51.795448137557685,51.12525702777089,-0.7724641902591914,486001.1741025,136935.6507449863,Likely ridge-soarable,Likely ridge-soarable
27,Ideal,True,76.46967950999188,Unnamed face near SU 898 133,SU 8875 1371,SE,145.85842895507812,18.924461698867635,11.262304306030272,40.71084976196289,133.56578433303832,787.0073789157323,1271.1145192908589,1137.9637199500576,63.25153620627334,48.817221575163664,20.9515607264,669.6209089573531,4.670867919921875,0,0,100.0,23.012055291069878,100.0,64.42650985717773,97.58191177463334,93.50218031141493,37.92441628196023,46.985294301037435,50.91610591333431,-0.7387458300585109,488758.7290874456,113717.55658205882,Likely ridge-soarable,Likely ridge-soarable
28,Ideal,True,76.43462260221001,Unnamed face near SU 374 613,SU 3730 6154,SSW,203.10743713378903,24.726382485189543,11.296228408813477,38.93018341064453,127.723702940979,2156.049513874692,2248.5483561526635,1465.1759285510634,63.96606869698234,50.79126686135447,78.40104123875555,875.0639624402975,5.473423480987549,0,0,100.0,21.033537122938366,100.0,63.35811004638672,98.57009500646494,90.38113090727065,57.98647793856539,39.62858077018815,51.35175464038465,-1.465668095309336,437307.1858462057,161544.03539579493,Likely ridge-soarable,Likely ridge-soarable
29,Ideal,True,76.11769226588798,Unnamed face near SU 873 357,SU 8707 3636,SSW,203.90960693359372,12.739652061935155,10.958497047424316,35.42497253417969,116.22366688903809,2008.3816569831104,2095.794625729264,897.8083173598861,67.01561695555174,52.268994091544286,35.04255002435555,930.4017144258833,4.082208156585693,0,0,100.0,17.138858371310764,100.0,61.25498352050782,100.0,95.79141272438896,56.52798739346596,39.0615068000599,51.11999813264518,-0.7572688600505999,487074.40391462366,136368.68601997322,Likely ridge-soarable,Likely ridge-soarable
30,Ideal,True,76.11662403263479,Unnamed face near SU 813 274,SU 8142 2759,S,170.906494140625,10.17997473166768,11.37726593017578,37.67000198364258,123.58924930801392,2182.7392906120517,2247.3831534089986,2227.784608782502,59.59493853679669,48.28065488546725,45.796916018488886,696.7081022728817,6.294563293457031,0,0,100.0,19.633335537380642,100.0,62.602001190185554,92.52491499769755,87.18780941433377,83.46635298295455,32.7346686629801,51.04198575138166,-0.8398986535863481,481428.0226950715,127599.0215786661,Likely ridge-soarable,Likely ridge-soarable
31,Ideal,True,76.1066787229912,Unnamed face near TQ 008 385,TQ 0082 3870,SSE,165.7230224609375,21.386479726722897,10.870586395263672,35.66816711425781,117.0215493951416,1495.5684641624684,1433.022886835155,1383.737514879962,61.23316386209133,47.14813485123977,54.92780023235555,806.8456406769837,5.669987201690674,0,0,100.0,17.40907457139757,100.0,61.40090026855469,94.79054576672206,89.6167164378696,74.04185901988636,42.84726651089757,51.13873560184393,-0.5602397338519653,500823.0059496255,138703.61181088092,Likely ridge-soarable,Likely ridge-soarable
32,Ideal,True,76.08847606792182,Unnamed face near SU 724 189,SU 7261 1906,SSE,155.35888671875,10.371967911664044,10.767583847045898,39.784950256347656,130.52805619903563,1852.2298590234716,1932.7097474734185,1769.4854694912792,67.6569795896771,52.78112144340533,96.688426736,1748.777254126806,6.2951250076293945,0,0,100.0,21.98327806260851,100.0,63.87097015380861,100.0,82.63852251900568,55.19797585227273,43.73175581890072,50.966476042681975,-0.9673223162230076,472612.51112701057,119069.17931411558,Likely ridge-soarable,Likely ridge-soarable
33,Ideal,True,76.00824117557585,Unnamed face near SU 572 816,SU 5715 8168,SSE,153.451416015625,29.81183249059485,10.458089828491213,35.2408561706543,115.61961055892944,2567.977324522973,2657.4832837242866,2598.437071270484,64.30982228957157,48.06619369059099,60.87256142577777,720.4846331758308,3.037257671356201,0,0,100.0,16.93428463406033,100.0,61.14451370239258,99.04549891110962,99.85510905583699,51.72984730113637,36.3973652671291,51.53121473150423,-1.17740133745632,457157.68720216426,181687.90566246363,Likely ridge-soarable,Likely ridge-soarable
34,Ideal,True,76.00573894906678,Unnamed face near SU 835 282,SU 8341 2844,SSE,166.56591796875,11.1130499144597,11.60251235961914,36.828033447265625,120.82688525512695,2592.535195376142,2796.943916316668,2793.634918262833,62.98618840829637,52.095254518945865,47.87670184942222,665.9711317695765,6.195072650909424,0,0,100.0,18.69781494140625,100.0,62.096820068359385,97.21494141572902,87.57471746868558,75.57439630681819,32.5771598763912,51.04927332550586,-0.8113961468475529,483413.1252001515,128441.26519041542,Likely ridge-soarable,Likely ridge-soarable
35,Ideal,True,75.91241684727737,Unnamed face near SU 660 778,SU 6586 7793,SSW,193.96990966796875,26.896172892609425,10.90424919128418,35.30999755859375,115.84645239013672,2421.1377321924083,2331.313413627912,2092.634017645614,60.89719424847865,46.60096576731829,50.35515332462222,719.6589428434381,4.775218486785889,0,0,100.0,17.0111083984375,100.0,61.18599853515625,94.32590693938536,93.09637255138821,74.60016424005683,34.21229292316192,51.496534721418,-1.0525522076968137,465867.8204969945,177935.7336306605,Likely ridge-soarable,Likely ridge-soarable
