k,f,e,lat,lon,alt,low,d_junction_m,d_major_junction_m,d_any_road_m,d_major_road_m,d_agri_edge_m,d_urban_edge_m,d_wood_edge_m,d_place_m,agri_inside,urban_inside,big_agri_near300,junction_300,junction_500,major_junction_500,major_road_300,any_road_150,agri_edge_300,wood_edge_300,urban_near500,place_near2000,road_agri_boundary,surface_boundary_300
c,1,1,51.35945,-1.48175,272,1,804.1631998173798,2952.8013576043595,438.18457281322003,1758.6473776092225,161.3871752868737,1032.6527358857356,132.2061197575677,1654.8694017309954,0,0,1,0,0,0,0,0,1,1,0,1,0,1
t,1,2,51.42035,-1.53733,811,0,218.4627607807388,445.519561204441,65.43836662247692,405.6393046090897,61.84386557493562,645.6761037302228,211.36369678651045,1451.4307978622403,1,0,1,1,1,1,0,1,1,1,0,1,1,1
c,1,2,51.37298,-1.4762,810,0,495.75778386534995,1812.034989169484,31.787216249210694,589.3951982621974,325.84128280957566,318.21799198261516,130.2180038490116,414.0104718343956,0,0,0,0,1,0,0,1,0,1,1,1,0,1
c,1,2,51.37773,-1.47945,805,0,378.25876144011005,1280.0148470598974,136.52216719880053,410.620727797996,49.96361404771187,242.86928536886222,59.11017572065615,410.4574399110011,1,0,1,0,1,0,0,1,1,1,1,1,1,1
c,1,2,51.38802,-1.48128,827,0,201.87475043533357,908.7339263809856,75.11259208855536,866.3430598255416,7.1699970905228,747.8539935645116,84.51061591619816,1522.9116601800515,0,0,1,1,1,0,0,1,1,1,0,1,1,1
t,2,1,50.96157,-0.86478,230,1,639.5721427415158,567.6643674611718,402.25585480161794,566.321296022371,183.79622517263513,886.7276157240166,18.29216061274402,1487.3518375799395,0,0,1,0,0,0,0,0,1,1,0,1,0,1
c,2,1,50.96188,-0.85533,240,1,605.6454377064065,632.3468865320891,464.9838634622018,524.8976826900029,176.86980688945837,1217.321909640477,7.137072452300536,1442.504598494404,0,0,0,0,0,0,0,0,1,1,0,1,0,1
c,2,1,50.96193,-0.8587,221,1,514.7927190688353,531.9298718446479,293.5124701356517,486.2998768209914,150.6745098327925,1211.6925990884858,48.50556182682212,1634.60398220009,0,0,0,0,0,0,0,0,1,1,0,1,0,1
c,2,1,50.96085,-0.86232,204,1,650.3699206481045,653.849756587385,386.3579232314113,650.3699206481045,97.23243577540754,1068.6904442904909,97.23243577540754,1674.5903254706661,0,0,1,0,0,0,0,0,1,1,0,1,0,1
t,3,1,51.3612,-1.48508,441,1,1096.711358246939,2727.618145458194,639.4852181182205,1559.9570575875282,63.331872330681406,1054.5802999950254,92.58565584318508,1478.6054161076183,1,0,1,0,0,0,0,0,1,1,0,1,0,1
c,3,1,51.3613,-1.492,973,1,1124.900065227394,2250.4480021291915,762.2877411329448,1646.5827295790793,112.504723002427,1073.0609301143518,178.81819988350063,1615.4951566957213,1,0,1,0,0,0,0,0,1,1,0,1,0,1
c,3,1,51.04708,-0.9997,670,1,527.5130943257124,1262.8940950336776,122.60258410460573,1136.2340074987699,26.44646589624365,717.4965282839821,504.03431671200053,1726.6536789779454,1,0,1,0,0,0,0,1,1,0,0,1,1,1
c,3,1,51.26738,-1.37292,959,1,259.6581579481001,473.07343129207135,179.72472870259156,179.72472870259156,111.28734983990476,253.28520393496927,189.2553683905826,2495.886606018665,1,0,1,1,1,1,1,0,1,1,1,0,0,1
t,3,2,51.3152,-1.42907,1116,0,921.411921884537,2355.3657154317657,196.7009647056986,2299.17190756181,11.96910893590623,1019.8107726016583,11.96910893590623,1037.402268276639,1,0,1,0,0,0,0,0,1,1,0,1,0,1
c,3,2,51.28578,-1.38722,1125,0,808.0996701439601,962.4642239164932,302.3128882878621,302.3128882878621,38.87487248331203,448.44799060603134,3.0550605775517505,3397.9385595293443,0,0,1,0,0,0,0,0,1,1,1,0,0,1
c,3,2,51.28775,-1.39193,1166,0,922.0005698424471,1102.6985828057318,53.14822431771198,53.14822431771198,92.03660028270983,353.8198721443721,79.1449865604305,3198.5998018030687,0,0,0,0,0,0,1,1,1,1,1,0,1,1
